KIC,lamost_id,RA (deg),DEC (deg),dtheta (arcsec),lamost filename 
 2988638,369705128,291.207860,38.125000,0.0309,spec-57308-KP192409N391242V01_sp05-128.fits.gz 
 2988988, 52405130,291.288500,38.139750,0.1062,spec-56094-kepler05B56094_sp05-130.fits.gz 
 2990932, 52508187,291.712083,38.159333,0.0236,spec-56094-kepler05B56094_2_sp08-187.fits.gz 
 2992250,580508123,292.003910,38.162369,0.0285,spec-57918-KP192409N391242V03_sp08-123.fits.gz 
 2992350,369708119,292.023254,38.103947,3.1534,spec-57308-KP192409N391242V01_sp08-119.fits.gz 
 2995130,579802224,292.628780,38.161919,0.0331,spec-57917-KP193708N401249V02_sp02-224.fits.gz 
 2996019,579802216,292.816590,38.154678,0.0321,spec-57917-KP193708N401249V02_sp02-216.fits.gz 
 2997437,580706214,293.126908,38.102156,0.5672,spec-57918-KP192409N391242V05_sp06-214.fits.gz 
 3001851, 52901049,294.064125,38.103583,0.0480,spec-56096-kepler08B56096_2_sp01-049.fits.gz 
 3098179,243101147,285.999296,38.254172,0.3408,spec-56811-KP190339N395439V02_sp01-147.fits.gz 
 3098716,576501150,286.188050,38.291988,0.0238,spec-57908-KP190339N395439V03_sp01-150.fits.gz 
 3100053,243007046,286.662000,38.234472,0.0528,spec-56811-KP190339N395439V01_sp07-046.fits.gz 
 3100193,576507046,286.704620,38.206200,0.0257,spec-57908-KP190339N395439V03_sp07-046.fits.gz 
 3101090,243107108,287.015583,38.269194,0.0950,spec-56811-KP190339N395439V02_sp07-108.fits.gz 
 3101632,243107125,287.218227,38.277201,1.1577,spec-56811-KP190339N395439V02_sp07-125.fits.gz 
 3109520,580505200,289.664250,38.252750,0.0356,spec-57918-KP192409N391242V03_sp05-200.fits.gz 
 3110626,369705184,289.953700,38.281368,0.0242,spec-57308-KP192409N391242V01_sp05-184.fits.gz 
 3110626,580505184,289.953700,38.281368,0.0242,spec-57918-KP192409N391242V03_sp05-184.fits.gz 
 3110733,369705250,289.976350,38.253559,0.0250,spec-57308-KP192409N391242V01_sp05-250.fits.gz 
 3113433,369705160,290.679810,38.274960,0.0282,spec-57308-KP192409N391242V01_sp05-160.fits.gz 
 3114408,580605035,290.934042,38.229511,0.2789,spec-57918-KP192409N391242V04_sp05-035.fits.gz 
 3115946,369705115,291.310580,38.255032,0.0334,spec-57308-KP192409N391242V01_sp05-115.fits.gz 
 3115946,580505110,291.310580,38.255032,0.0334,spec-57918-KP192409N391242V03_sp05-110.fits.gz 
 3116848,369808192,291.521670,38.272129,0.0061,spec-57308-KP192409N391242V02_sp08-192.fits.gz 
 3116848,580508197,291.521670,38.272129,0.0061,spec-57918-KP192409N391242V03_sp08-197.fits.gz 
 3118806, 52408102,291.953292,38.219667,0.0371,spec-56094-kepler05B56094_sp08-102.fits.gz 
 3119526,369708117,292.108580,38.230320,0.0261,spec-57308-KP192409N391242V01_sp08-117.fits.gz 
 3119555,369808117,292.114650,38.284840,0.0356,spec-57308-KP192409N391242V02_sp08-117.fits.gz 
 3119555,580608117,292.114650,38.284840,0.0356,spec-57918-KP192409N391242V04_sp08-117.fits.gz 
 3120004,369808105,292.213380,38.224522,0.0097,spec-57308-KP192409N391242V02_sp08-105.fits.gz 
 3120004,580508120,292.213380,38.224522,0.0097,spec-57918-KP192409N391242V03_sp08-120.fits.gz 
 3120486,369708124,292.326720,38.204041,0.0075,spec-57308-KP192409N391242V01_sp08-124.fits.gz 
 3120567, 52508128,292.343458,38.297861,0.0000,spec-56094-kepler05B56094_2_sp08-128.fits.gz 
 3120585, 52802218,292.350000,38.219500,0.0916,spec-56096-kepler08B56096_1_sp02-218.fits.gz 
 3120676,373102206,292.375950,38.269989,0.0000,spec-57314-KP193708N401249V01_sp02-206.fits.gz 
 3121940, 52902212,292.671292,38.243250,0.0720,spec-56096-kepler08B56096_2_sp02-212.fits.gz 
 3122185,373102210,292.731110,38.251049,0.0061,spec-57314-KP193708N401249V01_sp02-210.fits.gz 
 3122185,579802210,292.731110,38.251049,0.0061,spec-57917-KP193708N401249V02_sp02-210.fits.gz 
 3123206,373102017,292.974430,38.276630,0.0261,spec-57314-KP193708N401249V01_sp02-017.fits.gz 
 3123206,579802017,292.974430,38.276630,0.0261,spec-57917-KP193708N401249V02_sp02-017.fits.gz 
 3127825,373101045,294.000966,38.202424,1.1507,spec-57314-KP193708N401249V01_sp01-045.fits.gz 
 3130295, 52801106,294.524000,38.298111,0.1446,spec-56096-kepler08B56096_1_sp01-106.fits.gz 
 3130335, 52801090,294.533458,38.227639,0.0000,spec-56096-kepler08B56096_1_sp01-090.fits.gz 
 3222220,243107062,287.701000,38.311861,0.0661,spec-56811-KP190339N395439V02_sp07-062.fits.gz 
 3231503, 52405072,290.461500,38.341972,0.0596,spec-56094-kepler05B56094_sp05-072.fits.gz 
 3232397,369705164,290.730740,38.322750,0.0306,spec-57308-KP192409N391242V01_sp05-164.fits.gz 
 3232397,580505160,290.730740,38.322750,0.0306,spec-57918-KP192409N391242V03_sp05-160.fits.gz 
 3232838,369805163,290.855380,38.362949,0.0263,spec-57308-KP192409N391242V02_sp05-163.fits.gz 
 3232838,580505151,290.855380,38.362949,0.0263,spec-57918-KP192409N391242V03_sp05-151.fits.gz 
 3234396, 52405102,291.289875,38.374028,0.0410,spec-56094-kepler05B56094_sp05-102.fits.gz 
 3234597,580505112,291.341593,38.337278,4.4530,spec-57918-KP192409N391242V03_sp05-112.fits.gz 
 3234703, 52505118,291.369875,38.357556,0.0250,spec-56094-kepler05B56094_2_sp05-118.fits.gz 
 3235616,369708151,291.593750,38.382759,0.0075,spec-57308-KP192409N391242V01_sp08-151.fits.gz 
 3235616,580508151,291.593750,38.382759,0.0075,spec-57918-KP192409N391242V03_sp08-151.fits.gz 
 3238626,580508115,292.346590,38.359161,0.0043,spec-57918-KP192409N391242V03_sp08-115.fits.gz 
 3238859,373102147,292.400240,38.380711,0.0307,spec-57314-KP193708N401249V01_sp02-147.fits.gz 
 3239707, 52406237,292.600083,38.399972,0.0522,spec-56094-kepler05B56094_sp06-237.fits.gz 
 3240670, 52506009,292.845708,38.369889,0.1434,spec-56094-kepler05B56094_2_sp06-009.fits.gz 
 3240670, 52802135,292.845708,38.369889,0.1434,spec-56096-kepler08B56096_1_sp02-135.fits.gz 
 3241374,580506011,293.026685,38.308687,4.3544,spec-57918-KP192409N391242V03_sp06-011.fits.gz 
 3241822, 52506019,293.148208,38.378472,0.0092,spec-56094-kepler05B56094_2_sp06-019.fits.gz 
 3241947,373102011,293.179870,38.301449,0.0331,spec-57314-KP193708N401249V01_sp02-011.fits.gz 
