  2303367 19260880+3740242  19:26:08.808 +37:40:24.20 10.18 4862 170   33.80    0.25    4.10    0.05 6.36e+03 270         1.13    0.09   10.62    0.34    2.44    0.01  309.30 -999.      0.08 -999.   -999.   0 -999.    0 1 2
  2305407 19275908+3741282  19:27:59.081 +37:41:28.25 12.43 5007 100  184.52    2.17   13.10    0.05 36.1     3.01        1.84    0.10    5.77    0.10    3.18    0.01 -999.   -999.      0.13   95.00    3.07 0 -999.    2 0 1
  2305590 19280882+3736381  19:28:08.829 +37:36:38.16 11.60 4607  92   48.91    0.20    5.40    0.05 3.39e+03 126         1.05    0.06    8.63    0.19    2.59    0.01 -999.      1.60    0.05 -999.   -999.   0 -999.    0 0 1
  2305930 19282563+3741232  19:28:25.637 +37:41:23.28 10.80 4891 171   28.49    0.42    3.99    0.05 5.15e+03 303         0.76    0.07    9.48    0.33    2.36    0.01  247.70    1.27    0.21   33.00   14.54 3    0.11  2 0 2
  2305992 19282855+3739572  19:28:28.560 +37:39:57.28 11.99 4778  96  100.98    0.21    8.90    0.05 740      19.4        1.32    0.06    6.67    0.10    2.91    0.01   74.50    1.31    0.04 -999.   -999.   0 -999.    0 1 1
  2307683 19295606+3740555  19:29:56.069 +37:40:55.56 11.55 4799 168   39.89    0.22    4.33    0.05 2.87e+03 110         1.46    0.12   11.18    0.34    2.51    0.01 -999.      0.98    0.05 -999.   -999.   0 -999.    0 0 0
  2309469 19312880+3738391  19:31:28.800 +37:38:39.19 11.61 4710 165   27.81    0.22    3.56    0.05 1.02e+04 448         1.06    0.09   11.43    0.40    2.35    0.01  245.30    1.59    0.08 -999.   -999.   0 -999.    0 1 2
  2309550 19313386+3740119  19:31:33.864 +37:40:11.96  9.21 4863  97   49.75    0.42    5.01    0.05 1.26e+03 51.2        1.61    0.10   10.48    0.26    2.61    0.01  314.20    1.19    0.04 -999.   -999.   0 -999.    0 1 2
  2310129 19320618+3741449  19:32:06.180 +37:41:44.92 10.93 4852  97   51.42    0.31    5.11    0.05 1.52e+03 51.9        1.64    0.09   10.41    0.24    2.62    0.01  312.50    1.66    0.04 -999.   -999.   0 -999.    0 1 2
  2422073 19033301+3743183  19:03:33.015 +37:43:18.34 11.19 4549 159   26.78    0.20    3.24    0.05 1.05e+04 428         1.30    0.12   13.02    0.48    2.32    0.01 -999.      1.46    0.07 -999.   -999.   0 -999.    0 0 0
  2422635 19041758+3743261  19:04:17.592 +37:43:26.11 12.06 4943 173  110.08    0.44    9.29    0.05 249      7.58        1.51    0.10    6.79    0.14    2.95    0.01 -999.      0.30    0.03 -999.   -999.   0 -999.    0 0 1
  2424822 19071517+3744455  19:07:15.175 +37:44:45.53 11.68 5060 177   94.59    0.41    8.07    0.05 310      9.65        1.75    0.12    7.83    0.17    2.89    0.01 -999.      0.32    0.03 -999.   -999.   0 -999.    0 0 1
  2424934 19072299+3747068  19:07:22.997 +37:47:06.90 10.38 4963 174   33.63    0.21    3.90    0.05 5.3e+03  202         1.40    0.12   11.80    0.38    2.44    0.01  329.20    1.40    0.06 -999.   -999.   0 -999.    0 1 2
  2424955 19072522+3746459  19:07:25.226 +37:46:45.95 10.74 4681  94   51.99    0.25    5.38    0.05 2.22e+03 74.3        1.31    0.07    9.33    0.21    2.62    0.01 -999.      1.09    0.05 -999.   -999.   0 -999.    0 0 0
  2438368 19211415+3746578  19:21:14.160 +37:46:57.86 11.52 4975 174   84.21    0.40    6.93    0.05 489      12.8        2.21    0.15    9.36    0.22    2.84    0.01  247.90    1.42    0.03 -999.   -999.   0 -999.    0 1 2
  2441154 19234503+3744304  19:23:45.038 +37:44:30.48 10.33 4536 159 -999.   -999.   -999.   -999.   0        -999     -999.   -999.   -999.   -999.   -999.   -999.   -999.   -999.      1.32   32.00 -999.   6    1.65  1 0 0
  2441995 19243350+3742045  19:24:33.502 +37:42:04.54 11.44 4756  95   29.77    0.21    4.12    0.05 8.65e+03 390         0.73    0.05    9.16    0.26    2.38    0.01  318.90    1.43    0.07 -999.   -999.   0 -999.    0 1 2
  2442606 19250766+3745047  19:25:07.666 +37:45:04.72 10.98 4806 168   35.46    0.34    3.92    0.05 2.19e+03 109         1.53    0.13   12.12    0.40    2.46    0.01 -999.      0.78    0.06 -999.   -999.   0 -999.    0 0 0
  2443035 19252964+3744385  19:25:29.647 +37:44:38.54 12.22 5014 175   41.11    0.31    4.55    0.05 1.84e+03 80.6        1.40    0.11   10.64    0.32    2.53    0.01  336.60    1.62    0.12  128.00    4.20 0 -999.    3 1 0
  2443573 19255881+3742189  19:25:58.814 +37:42:18.90 11.69 4716  94   45.62    0.25    4.64    0.05 2.07e+03 78.9        1.61    0.09   11.02    0.28    2.56    0.01 -999.      1.18    0.05 -999.   -999.   0 -999.    0 0 0
  2443903 19261694+3745527  19:26:16.944 +37:45:52.74 11.82 4748  95   66.78    0.20    6.97    0.05 1.73e+03 50.5        1.00    0.05    7.17    0.13    2.73    0.01   70.30    1.70    0.04 -999.   -999.   0 -999.    0 1 1
  2444348 19264049+3742146  19:26:40.495 +37:42:14.62 10.32 4577  92   30.30    0.22    3.29    0.05 5.52e+03 235         1.80    0.14   14.39    0.49    2.38    0.01 -999.      1.29    0.07 -999.   -999.   0 -999.    0 0 0
  2445947 19280577+3746363  19:28:05.777 +37:46:36.34 12.50 4948 173   31.93    0.21    4.07    0.05 5.46e+03 244         1.00    0.08   10.25    0.32    2.42    0.01  288.60    1.09    0.05 -999.   -999.   0 -999.    0 1 2
